isbn13,bookname,authors,publisher,class_no,class_nm
9788970127248,"총, 균, 쇠 :무기, 병균, 금속 은 인류 의 운명 을 어떻게 바꿨는가 ",재레드 다이아몬드 지음 ;김진준 옮김,문학사상,389,"사회과학 > 풍속, 민속학 > 민족학"
9788932908557,신 :베르나르 베르베르 장편소설,베르나르 베르베르 [지음] ;이세욱 옮김,열린책들,863,문학 > 프랑스문학 > 소설
9788990103208,(만화로 보는)그리스 로마 신화,토머스 불핀치 지음;홍은영 그림,가나출판사,219,"종교 > 비교종교학 > 신화, 신화학"
9791130605210,오베라는 남자 :프레드릭 배크만 장편소설 ,지은이: 프레드릭 배크만 ;옮긴이: 최민우,다산북스,859.7,문학 > 독일문학 > 기타 게르만 문학
9788990982575,가면산장 살인사건 ,지은이: 히가시노 게이고 ;옮긴이: 김난주,재인,833.6,문학 > 일본문학 > 소설
9788986565522,짜장 짬뽕 탕수육,김영주 글;고경숙 그림,재미마주,813.6,문학 > 한국문학 > 소설
9788937842221,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,400,자연과학 > 자연과학 > 자연과학
9791187119845,나는 나로 살기로 했다 :냉담한 현실에서 어른살이를 위한 to do list ,글·그림: 김수현,마음의숲,818,문학 > 한국문학 > 르포르타주 및 기타
9788937842245,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,400,자연과학 > 자연과학 > 자연과학
9788983921437,해리포터와 불사조 기사단,조앤 K. 롤링 저;최인자 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788937842252,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,400,자연과학 > 자연과학 > 자연과학
9791195794799,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,911,역사 > 아시아(아세아) > 한국
9788937842207,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,400,자연과학 > 자연과학 > 자연과학
9788954608657,1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥,문학동네,833.6,문학 > 일본문학 > 소설
9788937842269,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,400,자연과학 > 자연과학 > 자연과학
9788964960035,나는 나의 주인 ,채인선 글 ;안은진 그림,토토북,189,철학 > 심리학 > 응용심리학 일반
9788990103192,(만화로 보는)그리스 로마 신화,토머스 불핀치 지음;홍은영 그림,가나출판사,219,"종교 > 비교종교학 > 신화, 신화학"
9788937842238,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,400,자연과학 > 자연과학 > 자연과학
9788993964264,고구려 :김진명 역사소설,지은이: 김진명,새움출판사,813.62,문학 > 한국문학 > 소설
9791162332542,추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건,트롤,아이세움,833.8,문학 > 일본문학 > 소설
9788984371071,종이 여자 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 전미연,밝은세상,863,문학 > 프랑스문학 > 소설
9788956602998,내 심장을 쏴라 :정유정 장편소설 ,지은이: 정유정,은행나무,813.6,문학 > 한국문학 > 소설
9788965132288,어떻게 살 것인가 ,지은이: 유시민,아름다운사람들,340.4,사회과학 > 정치학 > 정치학
9788949110004,우화 ,이보나 흐미엘레프스카 지음,비룡소,892.95,문학 > 기타 제문학 > 인도-유럽계문학
9788950906061,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,711.4,"언어 > 한국어 > 음운, 음성, 문자"
9788950906047,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,711.4,"언어 > 한국어 > 음운, 음성, 문자"
9788933870693,설민석의 조선왕조실록 :대한민국이 선택한 역사 이야기 ,지은이: 설민석,세계사,911.052,역사 > 아시아(아세아) > 한국
9788972757573,라플라스의 마녀 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥,현대문학,833.6,문학 > 일본문학 > 소설
9788995501443,꾸뻬 씨의 행복 여행,프랑수아 를로르 지음;오유란 옮김,오래된미래,863,문학 > 프랑스문학 > 소설
9791186757093,"자존감 수업 :하루에 하나, 나를 사랑하게 되는 자존감 회복 훈련 ",윤홍균 지음,심플라이프,182.1,철학 > 심리학 > 차이심리학
9788983921963,해리포터와 혼혈왕자,조앤 K. 롤링 저;최인자 옮김,문학수첩,843,문학 > 영미문학 > 소설
9788993242706,장수탕 선녀님 ,지은이: 백희나,책읽는곰,813.7,문학 > 한국문학 > 소설
9788956056531,여덟 단어 :인생을 대하는 우리의 자세 ,박웅현 지음,북하우스 퍼블리셔스,818,문학 > 한국문학 > 르포르타주 및 기타
9788989863915,지하 100층짜리 집 ,글·그림: 이와이 도시오 ;옮긴이: 김숙,북뱅크,833.6,문학 > 일본문학 > 소설
9788950906054,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,711.4,"언어 > 한국어 > 음운, 음성, 문자"
9788957363010,(만화로 보는)그리스 로마 신화,토머스 불핀치 지음;서영 그림,가나출판사,219,"종교 > 비교종교학 > 신화, 신화학"
9788971847558,즐거운 나의 집 :공지영 장편소설 ,공지영,푸른숲,813.6,문학 > 한국문학 > 소설
9788953527058,구름빵,글·그림: 백희나;빛그림: 김향수,한솔교육,813.6,문학 > 한국문학 > 소설
9791196025809,(설민석의) 한국사 대모험,"글: 설민석,그림: 정현희",휴먼큐브,911,역사 > 아시아(아세아) > 한국
9788937847684,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,400,자연과학 > 자연과학 > 자연과학
9788937847653,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,미래엔컬처그룹,400,자연과학 > 자연과학 > 자연과학
9788937847639,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,미래엔컬처그룹,400,자연과학 > 자연과학 > 자연과학
9788901039121,(사진과 그림으로 보는)한국사 편지,박은봉 지음;류동필...[등]그림,웅진닷컴,911,역사 > 아시아(아세아) > 한국
9788957363027,(만화로 보는)그리스 로마 신화,토머스 불핀치 지음;서영 그림,가나출판사,219,"종교 > 비교종교학 > 신화, 신화학"
9788957364390,어린이 과학 형사대 CSI,글: 고희정 ;그림: 서용남,가나출판사,400,자연과학 > 자연과학 > 자연과학
9788937847646,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,미래엔컬처그룹,400,자연과학 > 자연과학 > 자연과학
9788952709042,아낌없이 주는 나무,쉘 실버스타인 글/그림;이재명 옮김,시공사,843,문학 > 영미문학 > 소설
9788971844298,우리들의 행복한 시간,공지영,푸른숲,, >  >
9788943302177,야옹이가 제일 좋아하는 색깔은? ,제인 커브레라 지음 ;김향금 옮김,보림(보림출판사),843,문학 > 영미문학 > 소설
9788950906085,마법천자문:손오공의 한자 대탐험,시리얼 글·그림,북21아울북,711.4,"언어 > 한국어 > 음운, 음성, 문자"
9788949150550,마법의 시간여행,메리 폽 어즈번 지음 ;노은정 옮김,비룡소,843,문학 > 영미문학 > 소설
9788957980132,(이금이 성장소설)유진과 유진,이금이 지음,푸른책들,813.6,문학 > 한국문학 > 소설
9788949190013,수학 귀신 :수학을 싫어하는 한 소년이 수학의 원리를 깨우치기까지 ,한스 마그누스 엔첸스베르거 글 ;고영아 옮김,비룡소,410,자연과학 > 수학 > 수학
9788960865563,미생 :아직 살아 있지 못한 자,지은이: 윤태호,위즈덤하우스 미디어그룹,810,문학 > 한국문학 > 한국문학
9788998274795,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설 ,저자: 야쿠마루 가쿠 ;옮긴이: 김성미,Book plaza(북플라자),833.6,문학 > 일본문학 > 소설
